summonerName,championId,role,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,totalMinionsKilled,win,dragons,barons,turretsKilled
,20,MIDDLE,0,8,1,3576,14713,3550,67,False,0.0,0.0,0.0
Revresuar,21,BOTTOM,0,5,2,6929,9010,5328,124,False,0.0,0.0,0.0
cyb3r angel,526,UTILITY,1,7,1,3301,11189,3592,32,False,0.0,0.0,0.0
I MISS S10,24,TOP,0,3,1,3659,12482,3837,79,False,0.0,0.0,0.0
,121,JUNGLE,2,6,3,3816,15322,4901,9,False,0.0,0.0,0.0
Duarde,157,MIDDLE,3,9,1,5560,15224,5780,92,False,0.0,0.0,0.0
Bob Johnson,145,BOTTOM,5,4,3,10042,9108,6602,122,False,0.0,0.0,0.0
,117,UTILITY,2,2,6,5052,9192,4950,18,False,0.0,0.0,0.0
Hydroskop,43,TOP,4,0,2,11967,5845,7158,124,True,2.0,0.0,3.0
I LOVE SHALLTEAR,233,JUNGLE,12,4,6,13608,14682,9392,15,True,2.0,0.0,3.0
Loncar 013,61,MIDDLE,6,2,7,11013,6663,7702,114,True,2.0,0.0,3.0
eXro,21,BOTTOM,1,5,3,7038,9772,6192,131,True,2.0,0.0,3.0
Hachitis,526,UTILITY,1,1,14,3813,7632,5362,17,True,2.0,0.0,3.0
Murzyń,61,MIDDLE,9,1,6,30271,21396,17125,296,True,4.0,2.0,11.0
I LOVE SHALLTEAR,233,JUNGLE,5,7,9,25082,43404,13866,31,True,4.0,2.0,11.0
Bl3ndEye,82,TOP,10,5,5,25604,44490,15373,224,True,4.0,2.0,11.0
Αlpha samec,51,BOTTOM,5,6,7,32595,29229,16669,290,True,4.0,2.0,11.0
MasIana,902,UTILITY,0,4,18,6934,17287,10085,26,True,4.0,2.0,11.0
ecstacy overdose,777,TOP,11,8,3,52277,45087,15916,262,False,2.0,0.0,3.0
before sunrise,234,JUNGLE,4,9,4,12486,48048,12641,51,False,2.0,0.0,3.0
Born to Orn,99,MIDDLE,2,3,4,28586,14005,11967,283,False,2.0,0.0,3.0
shizeR31,202,BOTTOM,5,3,6,22023,19779,15296,286,False,2.0,0.0,3.0
,267,UTILITY,1,6,12,6423,21066,8358,26,False,2.0,0.0,3.0
DisabIed Jungler,126,TOP,8,6,6,22522,19650,13066,204,True,2.0,1.0,10.0
I LOVE SHALLTEAR,233,JUNGLE,8,8,10,19093,33671,11553,20,True,2.0,1.0,10.0
gosia magical,147,BOTTOM,5,2,10,10661,11298,10940,182,True,2.0,1.0,10.0
Toilet Abuser,8,MIDDLE,11,3,6,18974,29294,12494,158,True,2.0,1.0,10.0
ThePlagueRaTaTa,555,UTILITY,5,3,14,11429,13558,10246,24,True,2.0,1.0,10.0
MarQ,893,TOP,6,6,4,21517,23383,9239,137,False,0.0,0.0,2.0
16 Lineς,131,MIDDLE,8,9,4,24138,20042,10561,153,False,0.0,0.0,2.0
greater good,107,JUNGLE,3,11,8,15979,31275,9643,32,False,0.0,0.0,2.0
GXNDOWN,145,BOTTOM,5,7,3,12764,15443,9703,170,False,0.0,0.0,2.0
Polita,497,UTILITY,0,4,11,3936,11591,5714,27,False,0.0,0.0,2.0
Tökgyalu,897,TOP,6,6,1,20954,27999,10326,179,False,2.0,0.0,1.0
Kyluant,64,JUNGLE,3,6,4,7300,26093,7960,5,False,2.0,0.0,1.0
KsSzyna,26,MIDDLE,2,6,6,17632,19241,7807,159,False,2.0,0.0,1.0
robryan,901,BOTTOM,1,5,3,13757,17880,8148,204,False,2.0,0.0,1.0
hayabusaro,12,UTILITY,1,3,8,4941,15043,5800,17,False,2.0,0.0,1.0
radoneko,114,TOP,3,2,9,16170,21986,10718,181,True,1.0,0.0,9.0
I LOVE SHALLTEAR,233,JUNGLE,6,4,11,17388,27004,10212,6,True,1.0,0.0,9.0
Rhmuoughim,893,MIDDLE,7,5,12,24603,18477,10370,175,True,1.0,0.0,9.0
K0uTs0,147,BOTTOM,7,1,7,16507,8413,12246,223,True,1.0,0.0,9.0
tempiqvyxtvklrki,526,UTILITY,3,1,19,6136,14045,8113,26,True,1.0,0.0,9.0
,10,TOP,9,2,7,25717,18247,13547,224,True,2.0,1.0,7.0
I LOVE SHALLTEAR,233,JUNGLE,6,6,13,15849,31495,11077,13,True,2.0,1.0,7.0
small circle,238,MIDDLE,15,0,8,35804,13168,18397,274,True,2.0,1.0,7.0
POTÍM,145,BOTTOM,5,5,5,10998,15273,11073,177,True,2.0,1.0,7.0
WhiteBullet,111,UTILITY,1,5,11,4775,23422,7119,24,True,2.0,1.0,7.0
KancianoSenpai ,6,TOP,2,8,1,10936,29587,9160,179,False,1.0,0.0,4.0
Patruszka,517,MIDDLE,3,13,2,11418,31693,8513,157,False,1.0,0.0,4.0
βundyra,421,JUNGLE,3,7,9,12040,30660,11080,31,False,1.0,0.0,4.0
heaven knows,21,BOTTOM,10,3,6,30197,9488,15115,278,False,1.0,0.0,4.0
Superstar Maty,526,UTILITY,0,5,14,6493,13889,6844,22,False,1.0,0.0,4.0
HandsFree Singed,27,TOP,2,3,2,6235,12236,6425,124,False,0.0,0.0,0.0
Asymptotes,141,JUNGLE,2,6,0,4611,20089,5831,30,False,0.0,0.0,0.0
,8,MIDDLE,1,5,1,14709,13859,5156,113,False,0.0,0.0,0.0
GXNDOWN,110,BOTTOM,2,4,0,7623,7852,6697,126,False,0.0,0.0,0.0
Just Aidamák,235,UTILITY,0,3,2,3029,7293,4313,25,False,0.0,0.0,0.0
KTL Kubsar,23,MIDDLE,5,2,4,15250,26283,9711,151,True,2.0,0.0,9.0
I LOVE SHALLTEAR,233,JUNGLE,8,2,6,10199,17972,9798,19,True,2.0,0.0,9.0
zuzia bloch,85,TOP,2,2,1,7878,8376,7746,161,True,2.0,0.0,9.0
only mem0ries,145,BOTTOM,6,0,1,8686,7138,10034,173,True,2.0,0.0,9.0
POTÍM,40,UTILITY,0,1,10,3627,5256,6022,14,True,2.0,0.0,9.0
ecstacy overdose,157,TOP,2,9,3,11102,25389,8467,154,False,0.0,0.0,2.0
SooKssMaaNss,102,JUNGLE,3,9,1,15389,36259,9551,55,False,0.0,0.0,2.0
Frederick II,45,MIDDLE,6,5,0,18365,15018,12248,218,False,0.0,0.0,2.0
Dziękizazamiane,81,BOTTOM,2,6,3,14246,20534,7783,144,False,0.0,0.0,2.0
ThePlagueRaTaTa,267,UTILITY,1,8,6,4843,18351,6143,23,False,0.0,0.0,2.0
eter,24,TOP,6,2,6,14547,19722,13496,184,True,4.0,1.0,11.0
I LOVE SHALLTEAR,233,JUNGLE,13,3,7,24264,31353,13680,37,True,4.0,1.0,11.0
,777,MIDDLE,5,3,7,18360,23029,10927,201,True,4.0,1.0,11.0
ksiaze balagan I,142,BOTTOM,8,3,8,23825,12633,12443,197,True,4.0,1.0,11.0
hayabusaro,89,UTILITY,5,3,18,11912,26283,9349,37,True,4.0,1.0,11.0
DisabIed Jungler,893,TOP,4,3,7,28988,19632,13405,223,True,1.0,1.0,10.0
greater good,107,JUNGLE,8,5,8,21051,39556,13122,26,True,1.0,1.0,10.0
Phasmaa,147,MIDDLE,7,2,7,21661,11112,11805,203,True,1.0,1.0,10.0
lainpilled,22,BOTTOM,2,1,9,19343,11432,11068,209,True,1.0,1.0,10.0
iLickBriarsFeet,235,UTILITY,2,3,13,8072,17470,8712,37,True,1.0,1.0,10.0
4237852389754233,6,TOP,4,0,2,7269,20312,10631,181,False,2.0,0.0,2.0
