Player Name,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Grenade Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammate / Round,Saved Teammates / Round,Rating 2.0
virtuoso,3623,50.7%,3986,0.91,68.6,4.5,260,5917,0.61,0.19,0.67,0.13,0.12,1.00
STYKO,2408,58.1%,2593,0.93,70.8,4.9,174,3888,0.62,0.19,0.67,0.10,0.06,1.00
naz,2704,59.9%,2972,0.91,70.9,5.0,197,4267,0.63,0.19,0.70,0.12,0.11,1.00
zmb,3008,52.3%,3352,0.90,72.4,6.3,214,4860,0.62,0.18,0.69,0.10,0.09,1.00
amster,2403,46.3%,2558,0.94,68.5,4.3,175,3947,0.61,0.17,0.65,0.10,0.10,1.00
yepz,4975,55.1%,5196,0.96,67.0,4.8,365,8209,0.61,0.17,0.63,0.11,0.11,1.00
Noktse,4298,35.0%,4487,0.96,66.2,4.7,313,6958,0.62,0.14,0.64,0.09,0.08,0.99
chelo,2510,58.3%,2760,0.91,68.0,3.2,181,4024,0.62,0.17,0.69,0.11,0.08,0.99
raalz,4786,60.2%,5142,0.93,68.2,6.5,335,7769,0.62,0.17,0.66,0.12,0.10,0.99
zede,3271,63.5%,3513,0.93,70.0,3.2,232,5041,0.65,0.17,0.70,0.11,0.14,0.99
ex1st,3978,56.7%,4410,0.90,72.2,5.3,279,6294,0.63,0.20,0.70,0.09,0.09,0.99
chopper,2346,58.0%,2568,0.91,66.6,4.7,180,3935,0.60,0.18,0.65,0.11,0.07,0.99
jz,2942,54.2%,3197,0.92,70.5,3.1,215,4654,0.63,0.17,0.69,0.10,0.09,0.99
TMB,3908,52.0%,4421,0.88,70.8,7.3,271,6309,0.62,0.20,0.70,0.11,0.09,0.99
fokiu,3361,54.8%,3928,0.86,74.9,4.2,241,5204,0.65,0.19,0.75,0.11,0.08,0.99
Peppzor,4057,54.6%,4386,0.92,71.4,5.5,290,6441,0.63,0.19,0.68,0.08,0.09,0.99
roman,3108,54.1%,3400,0.91,68.0,5.7,234,5105,0.61,0.18,0.67,0.10,0.11,0.99
isak,2122,51.1%,2373,0.89,70.0,4.4,159,3474,0.61,0.19,0.68,0.09,0.10,0.98
kadziu,3046,58.5%,3253,0.94,69.2,4.1,204,4742,0.64,0.16,0.69,0.10,0.11,0.98
zeRRoFIX,3568,56.2%,3990,0.89,66.8,3.3,270,5892,0.61,0.18,0.68,0.13,0.12,0.98
siuhy,2384,52.5%,2630,0.91,68.9,4.2,171,3842,0.62,0.18,0.68,0.12,0.08,0.98
nexa,2516,50.6%,2690,0.94,67.4,4.7,182,4131,0.61,0.17,0.65,0.11,0.10,0.98
esenthial,3294,65.6%,3648,0.90,65.8,2.9,248,5456,0.60,0.17,0.67,0.12,0.11,0.98
alex,2151,48.2%,2415,0.89,68.4,4.9,158,3544,0.61,0.19,0.68,0.12,0.12,0.98
JT,2135,51.9%,2418,0.88,67.9,4.6,159,3552,0.60,0.18,0.68,0.13,0.11,0.98
brett,2369,47.5%,2765,0.86,73.7,5.5,175,3765,0.63,0.21,0.73,0.11,0.09,0.98
